latitude,longitude,depth,mag,place,locationSource,zone
60.629,-152.015,76.1,1.6,,ak,red
17.941,-66.949,10.56,2.23,Puerto Rico region,pr,yellow
62.98,-151.779,10.0,1.9,"62 km S of Denali National Park, Alaska",ak,red
18.034,-68.291,69.0,3.77,Mona Passage,pr,yellow
7.286,91.656,10.0,4.5,"Nicobar Islands, India region",us,red
31.656,-104.311,4.09,1.5,"57 km S of Whites City, New Mexico",tx,red
31.662,-104.306,6.39,2.8,,tx,red
62.598,-150.705,74.1,1.8,"11 km NNE of Petersville, Alaska",ak,red
34.082,-116.984,1.14,2.27,"8 km NE of Yucaipa, CA",ci,yellow
57.434,-154.104,49.69,4.1,"14 km SSW of Larsen Bay, Alaska",us,red
57.505,-154.232,28.0,3.9,"15 km ESE of Karluk, Alaska",ak,red
36.571,-121.171,3.23,1.56,"5 km NNW of Pinnacles, CA",nc,yellow
31.684,-104.425,5.99,1.7,,tx,red
60.182,-151.111,62.1,1.5,"16 km ESE of Clam Gulch, Alaska",ak,red
19.25,-155.401,32.12,2.28,"9 km ENE of Pāhala, Hawaii",hv,red
40.382,-124.33,24.98,2.5,"7 km NNW of Petrolia, CA",nc,yellow
-7.482,156.112,26.36,5.3,"105 km NW of Gizo, Solomon Islands",us,red
35.507,-118.384,8.28,1.69,"13 km SE of Bodfish, CA",ci,yellow
5.28,94.245,30.26,4.7,"124 km WSW of Banda Aceh, Indonesia",us,red
31.662,-104.31,7.06,2.8,"57 km S of Whites City, New Mexico",tx,red
31.646,-104.311,4.07,2.6,"59 km S of Whites City, New Mexico",tx,red
13.458,120.882,167.19,4.9,"6 km SW of Balatero, Philippines",us,red
31.646,-104.313,4.01,1.7,"59 km S of Whites City, New Mexico",tx,red
36.196,-117.983,0.95,2.9,"10 km SSE of Olancha, CA",ci,yellow
63.052,-148.241,65.4,1.6,"51 km SE of Cantwell, Alaska",ak,red
32.005,-104.015,5.88,1.6,"24 km SSE of Malaga, New Mexico",tx,red
37.988,-122.449,1.55,1.58,"7 km E of Santa Venetia, CA",nc,yellow
38.823,-122.808,0.79,2.14,"7 km NW of The Geysers, CA",nc,yellow
38.832,-122.815,1.27,1.94,"8 km NW of The Geysers, CA",nc,yellow
51.121,-176.847,18.9,2.1,"85 km S of Adak, Alaska",ak,red
10.638,-62.311,10.0,4.5,"6 km NNW of Güiria, Venezuela",us,red
60.305,-152.299,85.1,1.9,"45 km NW of Ninilchik, Alaska",ak,red
19.216,-155.373,33.08,3.68,"Island of Hawaii, Hawaii",hv,red
37.055,-121.129,-0.18,2.4,"25 km W of Los Banos, CA",nc,yellow
58.875,-153.828,13.9,1.6,"83 km SE of Kokhanok, Alaska",ak,red
41.513,-112.872,10.78,2.21,"47 km SW of Howell, Utah",uu,green
54.956,-161.298,67.07,2.7,,us,red
19.171,-155.503,31.14,1.84,"4 km SW of Pāhala, Hawaii",hv,red
63.566,-147.408,0.5,3.2,"76 km ESE of Denali Park, Alaska",ak,red
58.834,-153.663,12.3,1.8,"92 km SE of Kokhanok, Alaska",ak,red
59.924,-153.119,111.3,2.2,Southern Alaska,ak,red
58.813,-153.606,13.1,2.0,"93 km NNW of Aleneva, Alaska",ak,red
17.924,-66.288,7.67,2.31,"6 km S of Salinas, Puerto Rico",pr,yellow
17.939,-66.264,17.76,2.39,"4 km WSW of Central Aguirre, Puerto Rico",pr,yellow
59.801,-150.993,44.4,1.7,"6 km SSW of Fox River, Alaska",ak,red
38.888,-118.598,0.0,2.2,"19 km ESE of Schurz, Nevada",nn,yellow
19.524,-156.453,15.2,2.84,"49 km WSW of Kailua-Kona, Hawaii",hv,red
17.921,-66.284,7.78,2.47,Puerto Rico region,pr,yellow
-7.531,127.747,172.44,5.2,"137 km NE of Lospalos, Timor Leste",us,red
17.915,-66.285,12.54,2.06,"7 km S of Salinas, Puerto Rico",pr,yellow
60.941,-150.538,66.2,1.5,"8 km ENE of Point Possession, Alaska",ak,red
44.263,-110.616,9.34,2.36,"58 km ENE of Warm River, Idaho",uu,green
31.698,-104.176,4.36,1.7,"54 km W of Mentone, Texas",tx,red
44.264,-110.628,7.59,2.14,"57 km ENE of Warm River, Idaho",uu,green
44.266,-110.624,7.4,2.51,"58 km ENE of Warm River, Idaho",uu,green
61.562,-151.429,75.1,1.7,"47 km S of Skwentna, Alaska",ak,red
18.626,-66.888,14.13,2.65,"16 km NNW of Camuy, Puerto Rico",pr,yellow
-33.081,-71.979,29.0,5.2,"33 km W of Valparaíso, Chile",us,red
59.297,-152.423,74.1,2.2,"29 km WSW of Nanwalek, Alaska",ak,red
31.746,-104.133,4.52,1.7,western Texas,tx,red
61.82,-151.345,90.6,1.5,"19 km S of Skwentna, Alaska",ak,red
44.267,-110.628,8.59,1.75,"57 km ENE of Warm River, Idaho",uu,green
-1.371,126.451,33.93,4.6,"92 km NE of Sanana, Indonesia",us,red
19.379,-155.234,1.82,1.81,"7 km S of Volcano, Hawaii",hv,red
58.755,-153.759,15.7,1.6,"91 km NNW of Aleneva, Alaska",ak,red
36.537,-121.108,6.64,1.94,"3 km ENE of Pinnacles, CA",nc,yellow
-23.364,170.727,10.0,4.6,southeast of the Loyalty Islands,us,red
54.876,-156.269,1.5,3.6,"207 km SE of Chignik, Alaska",ak,red
33.011,-116.25,7.2,2.04,"18 km SW of Ocotillo Wells, CA",ci,yellow
-1.227,-24.137,10.0,5.5,central Mid-Atlantic Ridge,us,red
19.222,-155.372,30.73,2.24,"11 km E of Pāhala, Hawaii",hv,red
18.074,-66.953,10.83,2.38,"0 km ESE of Sabana Grande, Puerto Rico",pr,yellow
58.68,-153.848,1.6,1.7,,ak,red
58.861,-153.876,14.4,1.7,"82 km SE of Kokhanok, Alaska",ak,red
28.923,82.086,10.0,5.3,"37 km ENE of Dailekh, Nepal",us,red
19.074,-155.347,33.24,2.02,"Island of Hawaii, Hawaii",hv,red
58.726,-153.742,14.2,2.0,"88 km NNW of Aleneva, Alaska",ak,red
32.282,-115.124,11.49,2.01,"2 km WSW of Guadalupe Victoria, B.C., MX",ci,yellow
17.915,-66.996,15.97,1.82,Puerto Rico region,pr,yellow
17.915,-66.996,16.0,1.82,Puerto Rico region,pr,yellow
44.278,-110.632,6.22,1.97,"56 km SE of West Yellowstone, Montana",uu,green
19.211,-155.103,37.84,1.82,"Island of Hawaii, Hawaii",hv,red
38.779,-122.758,0.74,1.63,"0 km NNW of The Geysers, CA",nc,yellow
44.271,-110.625,7.35,1.63,"57 km SE of West Yellowstone, Montana",uu,green
44.279,-110.637,4.1,1.57,Wyoming,uu,green
63.758,-148.493,77.8,1.5,,ak,red
59.913,-140.711,2.4,1.9,"68 km NW of Yakutat, Alaska",ak,red
62.104,-146.643,35.2,1.6,"10 km WNW of Mendeltna, Alaska",ak,red
44.279,-110.623,6.12,1.68,"57 km SE of West Yellowstone, Montana",uu,green
44.279,-110.626,4.4,2.49,"57 km SE of West Yellowstone, Montana",uu,green
44.272,-110.623,7.46,1.8,"57 km SE of West Yellowstone, Montana",uu,green
38.839,-122.811,2.08,1.51,"8 km WNW of Cobb, CA",nc,yellow
63.566,-147.723,4.8,1.9,"61 km ESE of Denali Park, Alaska",ak,red
62.515,-149.579,46.6,1.8,"27 km ENE of Chase, Alaska",ak,red
60.93,-150.675,29.9,1.8,"1 km NE of Point Possession, Alaska",ak,red
37.961,-113.489,-3.28,1.62,"31 km NNE of Beryl Junction, Utah",uu,green
60.434,-152.732,120.7,2.5,"72 km NW of Ninilchik, Alaska",ak,red
62.163,-145.653,20.1,1.5,"8 km NW of Glennallen, Alaska",ak,red
35.84,-121.34,3.72,2.16,"26 km NNW of San Simeon, CA",nc,yellow
13.643,-90.449,87.07,4.1,near the coast of Guatemala,us,red
58.802,-153.576,4.1,1.7,"Kodiak Island region, Alaska",ak,red
58.826,-153.715,11.2,2.0,"91 km SE of Kokhanok, Alaska",ak,red
-34.077,57.903,10.0,5.1,,us,red
38.993,75.139,10.0,4.7,"90 km SW of Kashgar, China",us,red
-6.187,130.252,154.85,4.5,"283 km WSW of Tual, Indonesia",us,red
-4.069,-76.739,10.0,4.3,"73 km SSW of Alianza Cristiana, Peru",us,red
19.189,-155.482,31.86,1.87,"1 km SSW of Pāhala, Hawaii",hv,red
17.98,-66.822,15.59,3.01,"1 km S of Indios, Puerto Rico",pr,yellow
31.674,-104.445,4.74,1.6,western Texas,tx,red
63.55,-147.691,16.1,2.2,"63 km ESE of Denali Park, Alaska",ak,red
-24.065,-179.696,465.41,4.4,,us,red
63.81,-148.759,106.5,1.6,"11 km ESE of Healy, Alaska",ak,red
63.455,-149.359,66.0,1.5,"21 km WNW of Cantwell, Alaska",ak,red
57.918,-155.791,9.0,2.0,Alaska Peninsula,ak,red
37.494,-121.873,3.41,1.64,"8 km NNE of Milpitas, CA",nc,yellow
38.986,-123.219,6.08,1.67,"13 km ESE of Boonville, CA",nc,yellow
61.985,-148.396,28.7,1.8,Southern Alaska,ak,red
38.077,-118.738,3.65,1.65,"28 km ESE of Bodie, CA",nc,yellow
18.161,-68.1,86.0,3.79,"56 km SE of Punta Cana, Dominican Republic",pr,yellow
44.731,-113.96,15.21,2.33,"33 km NE of Challis, Idaho",mb,green
33.3,-115.682,3.38,1.93,"7 km SE of Bombay Beach, CA",ci,yellow
61.35,-147.651,18.3,1.8,"51 km S of Glacier View, Alaska",ak,red
33.296,-115.678,4.43,1.56,"8 km SE of Bombay Beach, CA",ci,yellow
40.129,-121.114,0.87,3.35,"6 km SW of Canyondam, CA",nc,yellow
58.858,-153.758,15.9,2.3,"87 km SE of Kokhanok, Alaska",ak,red
58.737,-153.405,16.6,1.9,"80 km NNW of Aleneva, Alaska",ak,red
35.938,-120.488,9.61,2.76,"7 km NW of Parkfield, CA",nc,yellow
38.837,-122.826,1.84,1.7,"9 km NW of The Geysers, CA",nc,yellow
54.414,-161.703,14.0,1.8,"82 km SSE of King Cove, Alaska",ak,red
17.872,-65.557,22.0,3.7,,pr,yellow
60.014,-152.991,103.2,1.8,"67 km ENE of Pedro Bay, Alaska",ak,red
31.698,-104.174,4.41,1.6,"54 km W of Mentone, Texas",tx,red
31.559,-104.12,4.48,1.6,"41 km NW of Toyah, Texas",tx,red
40.366,63.116,11.62,4.6,"38 km NW of Gazli, Uzbekistan",us,red
32.312,-101.828,7.02,1.8,"20 km N of Stanton, Texas",tx,red
61.993,-150.267,21.0,1.6,"28 km SW of Susitna North, Alaska",ak,red
19.293,-155.384,2.18,2.12,"14 km NE of Pāhala, Hawaii",hv,red
61.353,-150.319,39.3,2.6,Southern Alaska,ak,red
61.671,-151.525,79.1,2.0,"36 km S of Skwentna, Alaska",ak,red
38.788,-122.745,0.94,1.59,"2 km NE of The Geysers, CA",nc,yellow
38.788,-122.744,1.56,1.89,"2 km NE of The Geysers, CA",nc,yellow
63.3,-150.206,28.1,1.7,"63 km W of Cantwell, Alaska",ak,red
36.373,-120.93,12.74,1.65,"24 km WSW of New Idria, CA",nc,yellow
63.135,-151.332,2.4,2.3,"49 km SSE of Denali National Park, Alaska",ak,red
34.647,-116.293,3.01,1.72,"15 km SW of Ludlow, CA",ci,yellow
60.049,-152.119,75.8,1.9,"24 km WNW of Happy Valley, Alaska",ak,red
12.658,-90.424,10.0,4.4,off the coast of Central America,us,red
35.033,-116.976,3.25,2.1,"16 km NNE of Barstow, CA",ci,yellow
31.581,-104.535,3.46,1.6,western Texas,tx,red
19.243,-155.402,31.34,1.98,,hv,red
14.161,-91.196,90.78,4.4,"12 km ESE of Nueva Concepción, Guatemala",us,red
62.459,-149.397,0.0,1.7,"36 km E of Chase, Alaska",ak,red
42.896,-106.768,5.0,2.9,"23 km SE of Powder River, Wyoming",us,red
63.136,-151.474,0.0,1.7,"46 km SSE of Denali National Park, Alaska",ak,red
36.037,-97.398,13.93,1.55,"3 km SSE of Mulhall, Oklahoma",ok,green
63.028,-149.855,78.4,1.6,"60 km SW of Cantwell, Alaska",ak,red
35.679,-121.258,10.12,1.61,"7 km WNW of San Simeon, CA",nc,yellow
51.695,-172.416,35.0,3.2,"134 km ESE of Atka, Alaska",us,red
33.347,-116.358,10.73,1.67,"10 km N of Borrego Springs, CA",ci,yellow
17.943,-67.093,13.46,2.59,"6 km SW of La Parguera, Puerto Rico",pr,yellow
37.824,141.859,54.53,4.7,"77 km SSE of Onagawa Chō, Japan",us,red
46.762,-121.918,3.07,1.68,"8 km E of Ashford, Washington",uw,green
-11.959,166.629,215.96,4.5,"163 km SSE of Lata, Solomon Islands",us,red
61.51,-150.187,33.4,1.8,Southern Alaska,ak,red
31.674,-104.422,5.93,2.9,western Texas,tx,red
-20.214,-70.132,49.69,3.3,"Near the coast of Tarapaca, Chile",us,red
31.204,-103.773,5.1,1.8,"12 km S of Toyah, Texas",tx,red
-20.448,169.384,31.64,5.7,"100 km S of Isangel, Vanuatu",us,red
36.283,-89.514,7.5,1.7,"3 km NW of Ridgely, Tennessee",nm,green
42.749,142.576,120.53,4.4,"30 km SSE of Shimukappu, Japan",us,red
61.63,-149.679,29.9,1.7,"4 km W of Meadow Lakes, Alaska",ak,red
59.796,-153.6,130.5,2.2,,ak,red
60.332,-143.091,10.0,1.6,"123 km S of McCarthy, Alaska",ak,red
34.53,-97.493,5.05,1.58,"5 km NNW of Tatums, Oklahoma",ok,green
33.298,-115.676,7.46,1.72,"8 km SE of Bombay Beach, CA",ci,yellow
41.088,19.934,36.44,4.3,"7 km NNW of Cërrik, Albania",us,red
-24.315,-67.288,211.72,4.6,Chile-Argentina border region,us,red
31.67,-104.409,6.16,2.0,"56 km S of Whites City, New Mexico",tx,red
31.683,-104.404,6.65,1.6,"54 km S of Whites City, New Mexico",tx,red
51.518,178.365,81.0,5.1,"Rat Islands, Aleutian Islands, Alaska",us,red
37.397,-117.097,5.8,1.9,"36 km SSE of Goldfield, Nevada",nn,yellow
60.048,-140.013,9.5,1.5,"58 km NNW of Yakutat, Alaska",ak,red
-33.452,-68.687,51.66,4.6,"45 km SSW of San Martín, Argentina",us,red
51.429,-176.16,38.67,4.1,"59 km SSE of Adak, Alaska",us,red
57.669,-156.183,2.3,2.4,"74 km ENE of Ugashik, Alaska",ak,red
31.748,-104.178,6.4,1.9,"51 km SSE of Whites City, New Mexico",tx,red
58.026,-152.614,36.0,2.1,"13 km NNW of Ouzinkie, Alaska",ak,red
34.415,-119.167,4.68,2.86,"8 km ESE of Ojai, CA",ci,yellow
61.036,-152.373,123.2,1.8,"66 km W of Tyonek, Alaska",ak,red
19.19,-155.482,31.05,2.02,"1 km SSW of Pāhala, Hawaii",hv,red
19.29,-155.382,1.1,1.75,"14 km NE of Pāhala, Hawaii",hv,red
33.169,45.947,15.16,4.1,"20 km WNW of Mehrān, Iran",us,red
31.678,-104.491,7.91,1.6,"56 km S of Whites City, New Mexico",tx,red
31.603,-104.528,3.88,1.7,"65 km SSW of Whites City, New Mexico",tx,red
59.971,-140.197,4.6,1.5,Southeastern Alaska,ak,red
63.475,-149.58,97.9,1.6,"32 km WNW of Cantwell, Alaska",ak,red
31.684,-104.353,4.05,1.6,,tx,red
60.758,-150.883,49.3,1.8,"21 km SSW of Point Possession, Alaska",ak,red
39.836,-120.793,-0.97,2.23,"8 km S of Spring Garden, CA",nc,yellow
17.888,-66.928,13.84,2.98,"9 km SSW of Guánica, Puerto Rico",pr,yellow
17.985,-65.399,7.27,3.27,"14 km SSE of Esperanza, Puerto Rico",pr,yellow
17.987,-66.426,10.83,2.48,"1 km E of Playita Cortada, Puerto Rico",pr,yellow
36.783,68.382,64.58,4.3,"Hindu Kush region, Afghanistan",us,red
31.667,-104.311,6.7,1.9,"56 km S of Whites City, New Mexico",tx,red
31.651,-104.299,5.0,1.5,"58 km S of Whites City, New Mexico",tx,red
17.98,-65.384,10.1,3.07,"15 km SE of Esperanza, Puerto Rico",pr,yellow
63.077,-150.794,119.6,1.9,"64 km N of Petersville, Alaska",ak,red
31.668,-104.497,5.98,2.7,"57 km SSW of Whites City, New Mexico",tx,red
38.79,-122.746,1.7,2.02,"2 km NNE of The Geysers, CA",nc,yellow
-22.99,172.433,10.0,4.5,southeast of the Loyalty Islands,us,red
18.761,-67.42,20.89,3.08,"45 km NW of San Antonio, Puerto Rico",pr,yellow
18.755,-67.414,17.73,3.05,"44 km NW of San Antonio, Puerto Rico",pr,yellow
60.578,-151.206,26.1,1.8,"3 km NE of Kenai, Alaska",ak,red
36.439,-120.324,6.03,1.54,"7 km S of Cantua Creek, CA",nc,yellow
39.884,143.18,36.78,4.6,"109 km ENE of Miyako, Japan",us,red
32.863,-115.754,9.69,2.65,"17 km W of Imperial, CA",ci,yellow
32.864,-115.739,13.16,3.87,"16 km W of Imperial, CA",ci,yellow
61.633,-149.649,29.8,1.5,Southern Alaska,ak,red
62.967,-148.376,44.6,1.8,"55 km SSE of Cantwell, Alaska",ak,red
18.028,-66.774,11.78,2.06,"1 km NNW of Magas Arriba, Puerto Rico",pr,yellow
31.578,-104.529,4.02,1.6,"66 km NNE of Van Horn, Texas",tx,red
39.249,-122.718,7.4,1.73,"18 km NE of Nice, CA",nc,yellow
37.763,-122.014,7.38,1.5,"4 km WSW of San Ramon, CA",nc,yellow
36.668,-121.322,0.98,1.76,"14 km S of Tres Pinos, CA",nc,yellow
59.09,-152.216,67.3,2.0,"34 km SSW of Nanwalek, Alaska",ak,red
31.653,-104.333,5.0,1.6,"58 km S of Whites City, New Mexico",tx,red
38.953,-123.156,5.12,2.25,"19 km ESE of Boonville, CA",nc,yellow
17.939,-66.286,13.61,2.23,Puerto Rico region,pr,yellow
36.518,-121.109,10.44,2.28,"4 km ESE of Pinnacles, CA",nc,yellow
39.811,-123.495,7.83,1.73,"14 km N of Laytonville, CA",nc,yellow
36.696,-121.365,1.22,2.04,"11 km SSW of Tres Pinos, CA",nc,yellow
56.288,-149.773,10.0,2.9,"212 km SE of Chiniak, Alaska",us,red
61.356,-149.892,32.8,1.6,"4 km E of Point MacKenzie, Alaska",ak,red
-5.213,102.477,10.0,4.9,"156 km SSW of Pagar Alam, Indonesia",us,red
37.306,-122.076,4.93,1.57,"4 km WSW of Cupertino, CA",nc,yellow
31.681,-104.485,8.24,1.8,western Texas,tx,red
-10.269,161.41,93.19,4.5,"59 km WNW of Kirakira, Solomon Islands",us,red
63.558,-147.827,10.1,2.0,"57 km ESE of Denali Park, Alaska",ak,red
19.437,-155.515,28.93,1.83,"26 km N of Pāhala, Hawaii",hv,red
32.309,-101.827,6.99,4.1,"20 km N of Stanton, Texas",tx,red
32.313,-101.831,6.41,2.8,"20 km N of Stanton, Texas",tx,red
36.176,-117.806,8.37,1.65,"19 km NE of Coso Junction, CA",ci,yellow
31.063,-103.253,5.93,1.8,western Texas,tx,red
61.017,-141.222,7.9,2.6,"102 km ESE of McCarthy, Alaska",ak,red
19.43,-155.4,7.67,2.7,,hv,red
32.314,-101.821,7.85,2.4,"20 km N of Stanton, Texas",tx,red
32.312,-101.828,6.48,4.1,"20 km N of Stanton, Texas",tx,red
31.677,-104.419,4.85,1.8,"55 km S of Whites City, New Mexico",tx,red
31.603,-103.986,6.0,1.5,western Texas,tx,red
19.417,-155.46,6.46,1.92,"23 km N of Pāhala, Hawaii",hv,red
61.869,-150.15,33.6,1.7,"14 km NNW of Willow, Alaska",ak,red
18.008,-66.815,14.97,2.04,,pr,yellow
42.434,-111.525,8.39,1.96,southern Idaho,uu,green
54.633,-161.285,21.8,1.9,,ak,red
32.739,-115.408,12.02,1.52,"8 km SSW of Holtville, CA",ci,yellow
58.702,-153.701,15.8,1.9,,ak,red
34.134,-117.436,5.92,1.79,"4 km NNE of Fontana, CA",ci,yellow
58.722,-153.765,15.0,1.7,"89 km NW of Aleneva, Alaska",ak,red
54.796,-164.226,8.9,1.93,"Unimak Island region, Alaska",av,yellow
38.898,-118.845,8.3,2.4,California-Nevada border region,nn,yellow
37.584,73.994,10.0,4.5,"65 km S of Murghob, Tajikistan",us,red
31.572,-104.016,4.9,1.7,"35 km NW of Toyah, Texas",tx,red
35.558,-96.717,4.84,1.76,"8 km NNW of Prague, Oklahoma",ok,green
48.074,-119.767,10.4,1.63,"2 km SSE of Brewster, Washington",uw,green
19.288,-155.382,1.34,1.76,"13 km NE of Pāhala, Hawaii",hv,red
38.688,-122.498,6.47,2.18,"12 km SE of Middletown, CA",nc,yellow
-19.678,-175.688,215.22,4.6,"140 km W of Pangai, Tonga",us,red
31.669,-104.183,6.08,1.6,"53 km NW of Toyah, Texas",tx,red
57.824,-153.385,47.5,2.2,"30 km W of Port Lions, Alaska",ak,red
34.02,-117.606,4.14,1.58,"4 km SSE of Ontario, CA",ci,yellow
-4.035,127.369,226.33,4.5,Banda Sea,us,red
58.91,-152.506,63.5,1.8,"59 km SSW of Nanwalek, Alaska",ak,red
19.161,-155.513,37.07,2.19,"5 km SW of Pāhala, Hawaii",hv,red
31.686,-104.508,6.76,1.6,"55 km SSW of Whites City, New Mexico",tx,red
61.323,-147.816,0.0,1.6,"54 km S of Glacier View, Alaska",ak,red
59.98,-139.516,3.5,1.9,,ak,red
62.216,-148.592,34.6,1.5,"47 km N of Chickaloon, Alaska",ak,red
14.027,-91.542,54.87,4.2,"32 km SW of Nueva Concepción, Guatemala",us,red
54.736,-164.107,7.21,1.51,"46 km WSW of False Pass, Alaska",av,yellow
31.609,-104.24,8.04,1.5,western Texas,tx,red
40.488,-123.794,21.83,1.73,"26 km E of Rio Dell, CA",nc,yellow
40.956,-121.546,15.64,1.79,"10 km WSW of Fall River Mills, CA",nc,yellow
31.602,-104.253,7.03,2.6,,tx,red
63.165,-151.297,9.8,1.6,"47 km SSE of Denali National Park, Alaska",ak,red
38.162,-118.163,7.9,2.3,"25 km S of Mina, Nevada",nn,yellow
-20.516,-177.89,382.82,4.3,"278 km WNW of Houma, Tonga",us,red
35.414,-83.528,13.01,2.51,"7 km WSW of Bryson City, North Carolina",se,green
20.201,122.007,11.27,4.4,"27 km S of Basco, Philippines",us,red
38.785,-122.723,1.0,1.52,"3 km WNW of Anderson Springs, CA",nc,yellow
31.613,-104.185,4.36,1.5,,tx,red
44.463,-115.224,8.1,1.7,"35 km NW of Stanley, Idaho",mb,green
53.96,-164.035,25.6,2.6,"107 km SSW of False Pass, Alaska",ak,red
63.547,-150.84,0.0,1.6,Central Alaska,ak,red
38.146,-117.965,12.5,1.5,"29 km SSE of Mina, Nevada",nn,yellow
6.722,-73.078,158.06,4.6,"2 km ESE of Jordán, Colombia",us,red
60.929,-150.508,33.5,1.5,"9 km E of Point Possession, Alaska",ak,red
36.68,-121.352,0.1,1.55,"12 km SSW of Tres Pinos, CA",nc,yellow
44.614,-112.498,12.41,2.6,"7 km ESE of Lima, Montana",us,red
66.55,-157.97,15.0,3.2,"52 km SW of Shungnak, Alaska",ak,red
38.146,-117.966,12.5,2.0,"29 km SSE of Mina, Nevada",nn,yellow
18.021,-66.775,14.9,2.84,"0 km NW of Magas Arriba, Puerto Rico",pr,yellow
-5.948,131.126,101.53,4.5,Banda Sea,us,red
35.511,-120.813,5.27,1.74,"10 km NE of Cayucos, CA",nc,yellow
20.14,147.757,10.0,5.0,Mariana Islands region,us,red
19.295,-155.39,1.12,2.06,"13 km NE of Pāhala, Hawaii",hv,red
51.136,179.169,35.0,4.0,"Rat Islands, Aleutian Islands, Alaska",us,red
31.655,-104.306,7.16,2.0,"58 km S of Whites City, New Mexico",tx,red
17.949,-66.848,14.85,2.25,"5 km SE of Maria Antonia, Puerto Rico",pr,yellow
59.435,-152.697,75.6,3.0,"44 km W of Nanwalek, Alaska",ak,red
62.792,-150.873,90.1,1.6,"33 km N of Petersville, Alaska",ak,red
17.884,-66.896,7.33,2.14,Puerto Rico region,pr,yellow
31.659,-104.304,6.65,1.6,"57 km S of Whites City, New Mexico",tx,red
31.659,-104.309,6.65,2.3,western Texas,tx,red
31.66,-104.306,8.11,2.4,"57 km S of Whites City, New Mexico",tx,red
17.975,-66.847,14.36,2.82,Puerto Rico region,pr,yellow
31.654,-104.306,8.14,1.8,"58 km S of Whites City, New Mexico",tx,red
51.097,179.067,20.8,3.0,"Rat Islands, Aleutian Islands, Alaska",ak,red
35.695,-117.524,7.51,2.4,"14 km SW of Searles Valley, CA",ci,yellow
31.658,-104.304,6.59,2.0,western Texas,tx,red
38.82,-122.762,1.86,2.11,"3 km W of Cobb, CA",nc,yellow
31.65,-104.368,4.31,1.6,"58 km S of Whites City, New Mexico",tx,red
19.865,-155.141,37.93,2.22,"Island of Hawaii, Hawaii",hv,red
57.832,-156.222,124.1,1.5,"78 km ENE of Ugashik, Alaska",ak,red
51.905,-173.7,13.8,2.4,"47 km SE of Atka, Alaska",ak,red
19.176,-155.486,35.43,1.9,"3 km SSW of Pāhala, Hawaii",hv,red
37.762,-122.014,7.38,1.5,"4 km WSW of San Ramon, CA",nc,yellow
61.365,-146.1,27.0,1.6,"29 km NNE of Valdez, Alaska",ak,red
59.778,-153.07,101.2,2.3,"58 km E of Pedro Bay, Alaska",ak,red
19.314,-155.219,-0.25,1.74,"Island of Hawaii, Hawaii",hv,red
39.629,-119.641,9.5,1.9,"6 km ESE of Spanish Springs, Nevada",nn,yellow
37.724,-97.965,8.07,2.5,"7 km SE of Pretty Prairie, Kansas",us,red
62.455,-151.399,83.9,1.5,"33 km W of Petersville, Alaska",ak,red
44.46,-115.22,5.08,1.94,"35 km NW of Stanley, Idaho",mb,green
38.816,-122.819,2.55,1.53,"7 km NW of The Geysers, CA",nc,yellow
31.67,-104.398,6.13,1.5,"56 km S of Whites City, New Mexico",tx,red
58.995,-136.333,0.0,1.7,,ak,red
61.021,-147.267,20.0,1.7,"36 km WNW of Tatitlek, Alaska",ak,red
51.789,174.046,10.0,4.6,"131 km SSE of Attu Station, Alaska",us,red
